200.0000;200.0000
900.0000;16766.6667
17200.0000;30800.0000
31366.6667;39733.3333
40000.0000;43100.0000
43466.6667;44233.3333
44700.0000;54366.6667
54900.0000;54966.6667
55466.6667;56000.0000
56533.3333;58766.6667
59366.6667;69533.3333
70433.3333;71100.0000
71633.3333;71700.0000
72100.0000;73633.3333
74066.6667;74733.3333
75000.0000;75866.6667
80800.0000;81533.3333
88500.0000;88533.3333
89900.0000;90800.0000
91166.6667;92233.3333
96066.6667;97066.6667
98400.0000;100000.0000
100400.0000;100400.0000
101266.6667;102933.3333
103866.6667;103900.0000
104266.6667;104466.6667
105233.3333;105500.0000
108266.6667;110300.0000
110866.6667;112666.6667
113066.6667;113200.0000
114233.3333;115300.0000
115600.0000;121633.3333
123833.3333;124033.3333
125033.3333;128566.6667
128933.3333;140233.3333
140500.0000;140500.0000
141766.6667;174833.3333
175433.3333;832266.6667
832766.6667;929666.6667
930233.3333;930600.0000
930933.3333;945266.6667
945533.3333;950733.3333
951333.3333;955833.3333
956566.6667;957166.6667
957900.0000;958666.6667
958933.3333;959266.6667
959500.0000;959566.6667
959833.3333;1007933.3333
1008700.0000;1051066.6667
1051400.0000;1128900.0000
1129200.0000;1288000.0000
1288233.3333;1288700.0000
1289300.0000;1381433.3333
1381833.3333;1442533.3333
1442766.6667;1482033.3333
1482500.0000;1487166.6667
1487666.6667;1493800.0000
1494333.3333;1518366.6667
1518600.0000;1544733.3333
1545000.0000;1660800.0000
1661366.6667;1668900.0000
1672266.6667;1862533.3333
1863200.0000;1882266.6667
1882533.3333;2013533.3333
2014433.3333;2018600.0000
2019366.6667;2162600.0000
2163000.0000;2312966.6667
2313266.6667;2323700.0000
2324300.0000;2374633.3333
2375333.3333;2448333.3333
2449200.0000;2453933.3333
2454166.6667;2531466.6667
2531966.6667;2532733.3333
2533133.3333;2535133.3333
2535433.3333;2538133.3333
2538466.6667;2540033.3333
2540366.6667;2540366.6667
2541200.0000;2541366.6667
2541666.6667;2626866.6667
2627366.6667;2628666.6667
2628933.3333;2628933.3333
2629300.0000;2635000.0000
